skz,name,street,zip,city,phone,email,website,principal,school_type
2869,Bundesgymnasium Wien,Geblergasse 56,1170,Wien,01/4056535,,www.grg17geblergasse.at,,AHS
2893,Polytechnische Schule Wien,Schopenhauerstraße 81,1180,Wien,01/4706110,,www.schulen.wien.at/schulen/918014,,"Polytechnische Schule, Sekundarbildung Oberstufe"
2920,"Bundesakademie für Sozialarbeit, Ausbildung für Berufstätige Wien",Grenzackerstraße 18,1100,Wien,60118-5158,,bas.pib-wien.dienstleistungen.ws,,"Sozialakademie, Sonstige Bildungseinrichtung"
2990,Bundes-Oberstufenrealgymnasium Wien,Landstraßer Hauptstraße 70,1030,Wien,01/7131350,,www.borg3.at,,AHS
3036,Neue Mittelschule I Wien,Enkplatz 4,1110,Wien,01/7481450,,www.schulen.wien.at/ice/schulen/911022,,"Neue Mittelschule, Sekundarbildung Unterstufe"
3075,Neue Mittelschule Wien,Leibnizgasse 33,1100,Wien,01/6043511,,www.schulen.wien.at/schulen/910092,,"Neue Mittelschule, Sekundarbildung Unterstufe"
3083,Volksschule Wien,Vereinsgasse 29,1020,Wien,01/2143294,,www.vereinsgasse.at,,"Volksschule, Grundbildung"
3114,Volksschule Wien,Lavantgasse 35,1210,Wien,01/2927140,,www.sicherheitsvolksschule.com,,"Volksschule, Grundbildung"
3161,Volksschule Wien,Maria-Rekker-Gasse 3,1100,Wien,01/6070321,,www.schulen.wien.at/schulen/910341,,"Volksschule, Grundbildung"
3233,Bundesrealgymnasium Wien,Schottenbastei 7-9,1010,Wien,01/5338450,,www.brg1.at,,AHS
3243,Neue Mittelschule (Paul Grüninger) Wien,Hanreitergasse 2,1210,Wien,01/2945200,,www.paul-grueninger-schule.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
3290,Volksschule Wien,Hertha Firnberg-Straße 12,1100,Wien,01/6079586-111,,www.schulen.wien.at/schulen/910351,,"Volksschule, Grundbildung"
3314,"2e Volksschule ""Waldkloster"" der Schulstiftung der Erzdiözese Wien Wien",Quellenstraße 87,1100,Wien,01/6040133,,www.pvs-waldkloster.ac.at,,"Volksschule, Grundbildung"
3339,"Volksschule ""Vienna Bilingual School"" Wien",Herbststraße 86,1160,Wien,01/4924323,,www.schulen.wien.at/schulen/916031,,"Volksschule, Grundbildung"
3349,Bundesgymnasium und Bundesrealgymnasium mit Modellversuch Neue Mittelschule Wien,Kandlgasse 39,1070,Wien,01/5236258,,www.schulen.wien.at/schulen/907026,,"AHS mit NMS, AHS, Sekundarbildung Unterstufe"
3367,Pädagogische Hochschule Wien Wien,Grenzackerstraße 18,1100,Wien,01/60118-2000,,www.phwien.ac.at,,"Pädagogische Hochschulen, Hochschulen"
